"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
20	1.002848892652328e+00	-1.277384769505959e-03	9.862489295996624e-01	8.698807405536748e-03	4.785055064261425e-02	2.485125636129200e+00	4.039724057156703e-05	9.935705896579161e-01	1.007423744491389e+00	-6.825856062175011e-01	4.152317390466678e-02	5.588469793530418e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.984169592167765e-05	
21	1.002951353537988e+00	-2.995673000176423e-04	9.893409580272770e-01	9.337866566788830e-02	5.241541550308328e-02	2.497563191559211e+00	3.877261257379564e-05	9.967071777132458e-01	1.007445582461942e+00	-3.495861948736840e-01	9.113877204633218e-02	5.588562775682394e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.835929121525378e-05	
22	1.003343149356478e+00	4.438488700261780e-04	9.947976297715249e-01	1.620554832223859e-01	7.504822158269925e-02	2.512445414661010e+00	3.569065249040237e-05	9.985659641762088e-01	1.003788041197434e+00	-1.522460319126043e-01	1.514384625196754e-01	5.572975896297545e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.550492736084566e-05	
23	1.003270926682392e+00	-8.276823273352261e-04	9.870064430040372e-01	3.723371271848459e-02	4.261677369285415e-02	2.488086650440832e+00	4.271415954721622e-05	9.945857203876434e-01	1.007679055630618e+00	-5.748131064587897e-01	4.827275396162269e-02	5.589556801019495e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.215911551668502e-05	
24	1.002838942861842e+00	1.123453199081650e-03	1.005733061392625e+00	2.160761097169707e-01	1.275015579973163e-01	2.537817931028513e+00	2.383558278812537e-05	1.002609828615427e+00	9.968945708388335e-01	2.770754008224950e-01	2.111597288971706e-01	5.543523477113498e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.397212754832302e-05	
25	1.002453506398714e+00	1.498540363347929e-03	1.002202770482292e+00	1.879009499790086e-01	1.323083361778946e-01	2.525841930338039e+00	1.740059971012479e-05	9.997975350904480e-01	9.976000511446536e-01	-2.149491565653161e-02	1.940302931296569e-01	5.546542191352413e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.743872842245983e-05	
26	1.001361632565740e+00	4.457275169532669e-04	1.015480929360109e+00	2.844980476517004e-01	1.886566123881844e-01	2.563854784303810e+00	1.578444704490062e-05	1.002591122003782e+00	9.873066967742566e-01	2.750893922818851e-01	2.859287942559749e-01	5.502394078757333e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.602857288302959e-05	
27	1.001024921758602e+00	2.449903672414438e-04	1.020890461204666e+00	3.168601600157789e-01	2.105627119228349e-01	2.578681648868716e+00	1.388791084901508e-05	1.003117606354662e+00	9.825908307253346e-01	3.309841976667121e-01	3.177315131091968e-01	5.482093203566620e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.417774237054154e-05	
28	1.001979335757199e+00	1.883557856837123e-03	9.933888969498342e-01	1.104069811461944e-01	8.355176339241693e-02	2.505888860359772e+00	1.250563077054407e-05	9.984959079610074e-01	1.005140998683249e+00	-1.596836290759936e-01	1.174954433119105e-01	5.578744844905010e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.242255211418371e-05	
29	1.001878071342103e+00	1.368267491429961e-03	9.986776276258488e-01	1.648197485166878e-01	1.256908870747048e-01	2.517057966888393e+00	1.379969511961118e-05	9.982190591757960e-01	9.995408243487514e-01	-1.890755928533200e-01	1.754532738005890e-01	5.554841307554036e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.378112379341683e-05	
