"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
522, -8.331771877570168e-02, 4.088334520745757e+02, -9.407472875064940e+00, 2.789218088111499e+00, 1.592498229999014e-03, 1.879741388647125e-01, -1.774510347969031e-01
520, -6.900683678820850e-02, 4.184455279141798e+02, -9.421683372089790e+00, 3.064168495827558e+00, 1.629309152759684e-03, 1.756579597024759e-01, -1.749558003717420e-01
519, -1.101036043298163e-01, 4.280461469485197e+02, -9.422602598571014e+00, 3.355110768194143e+00, 1.666538681192981e-03, 1.637051355587112e-01, -1.721863284878946e-01
518, -9.564464305304937e-02, 4.365977490494568e+02, -9.398014341828045e+00, 3.656224774546128e+00, 1.701071832210485e-03, 1.521370322869927e-01, -1.691476077447790e-01
517, -1.268463569162155e-01, 4.445671727552194e+02, -9.351662370644272e+00, 3.965872110599682e+00, 1.733047910182925e-03, 1.409639116463298e-01, -1.658464838884371e-01
509, -1.315318337177871e-01, 4.513924855821874e+02, -9.280410742110668e+00, 4.276582337000800e+00, 1.761774239864616e-03, 1.301864855825720e-01, -1.622928708244796e-01
508, -1.544543448410803e-01, 4.575574281749755e+02, -9.188984120349398e+00, 4.590102831171193e+00, 1.788460514994165e-03, 1.198146290926759e-01, -1.585028274663601e-01
428, -1.757231007305496e-01, 4.633804511388940e+02, -9.081637255935455e+00, 4.901946718847380e+00, 1.813488578040700e-03, 1.098763314320922e-01, -1.545025453139568e-01
355, -1.713465987194814e-01, 4.686943344080746e+02, -8.955417571187573e+00, 5.212348111827199e+00, 1.837369823045948e-03, 1.003586460298808e-01, -1.503047948476434e-01
354, -2.185850800497874e-01, 4.741738672137916e+02, -8.814449303886230e+00, 5.527070579889109e+00, 1.861308475415032e-03, 9.127835101500112e-02, -1.459335999112026e-01
287, -2.177721909328935e-01, 4.790448648059989e+02, -8.648083876507997e+00, 5.846904209673444e+00, 1.885252237443017e-03, 8.264737344339340e-02, -1.414027958249300e-01
221, -2.311446705796243e-01, 4.833964768986864e+02, -8.457178458543382e+00, 6.169522309208098e+00, 1.906249233634822e-03, 7.446653992783221e-02, -1.367227074331446e-01
161, -2.488298046358170e-01, 4.868000442903501e+02, -8.236233400099557e+00, 6.494659385311383e+00, 1.925415763068738e-03, 6.675310715960703e-02, -1.319153364752525e-01
149, -2.514645843754757e-01, 4.886839583174601e+02, -7.979382998941372e+00, 6.817878926559627e+00, 1.940193209481748e-03, 5.950359869004128e-02, -1.269856477778586e-01
148, -2.452173116804669e-01, 4.885345947767730e+02, -7.686799517401857e+00, 7.127722947247157e+00, 1.948207537477334e-03, 5.272091744529669e-02, -1.219494794229444e-01
147, -2.591033948881138e-01, 4.865624765540225e+02, -7.363543855036540e+00, 7.418439636170696e+00, 1.949739349100207e-03, 4.640551350775141e-02, -1.168303873526858e-01
146, -2.780436324181940e-01, 4.829156598852610e+02, -7.014535614274291e+00, 7.685916641037701e+00, 1.945423719351326e-03, 4.055945135619536e-02, -1.116580271508669e-01
145, -2.883197454377910e-01, 4.776914930318641e+02, -6.643705790102785e+00, 7.926587472301455e+00, 1.936148485011143e-03, 3.519676327449885e-02, -1.064788568830562e-01
