"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
1707, 4.393633714400516e-03, -1.410844086080507e+01, 8.656679000362180e-01, -2.685896020507644e-01, -1.051964252139697e-04, 8.169831926581642e-02, 3.553368053940042e-04
1892, 3.963881543550848e-03, -1.436207330619525e+01, 7.611212376210605e-01, -2.841571612911543e-01, -7.828956581936599e-05, 6.353413518091157e-01, -8.236473259586771e-02
1883, 5.425403999473432e-03, -1.436229724650504e+01, 7.494392921459391e-01, -2.881382463330801e-01, -7.687372288884208e-05, 6.509436757422313e-01, -8.151328101293620e-02
1882, 4.000152292632909e-03, -1.434935624019206e+01, 7.366816186378252e-01, -2.926857453267536e-01, -7.535076371288929e-05, 6.663788378657320e-01, -8.041479451533354e-02
1881, 6.020769469727705e-03, -1.436782479330952e+01, 7.252949190991634e-01, -2.974359485351211e-01, -7.376240512896999e-05, 6.816223760623115e-01, -7.908124047481030e-02
1880, 4.321783380875933e-03, -1.435989432883101e+01, 7.126318664340801e-01, -3.025674990145360e-01, -7.215261507395083e-05, 6.966604904903797e-01, -7.752453616717894e-02
1879, 6.486351084175752e-03, -1.437852298823105e+01, 7.013959663842295e-01, -3.079392823049184e-01, -7.045460526905272e-05, 7.114798218994717e-01, -7.575713257588861e-02
1878, 4.771538740301205e-03, -1.436385162266222e+01, 6.888209413681406e-01, -3.135982653505401e-01, -6.877710074494476e-05, 7.260476641029290e-01, -7.379581393473428e-02
1877, 6.842571456810513e-03, -1.436909529659340e+01, 6.775713217801881e-01, -3.194945493339329e-01, -6.699809035100467e-05, 7.403628351635495e-01, -7.165446456127157e-02
1876, 5.365219366134840e-03, -1.433604347805643e+01, 6.649941153608361e-01, -3.255710171583253e-01, -6.529056267877359e-05, 7.544139676059348e-01, -6.934827921562003e-02
1875, 7.095389178166818e-03, -1.431316370372847e+01, 6.535052757818094e-01, -3.320180481988097e-01, -6.344437328191110e-05, 7.681698453684167e-01, -6.689629287175079e-02
1874, 6.030091220003211e-03, -1.424982746378273e+01, 6.407734076789520e-01, -3.384435289978264e-01, -6.174383778812750e-05, 7.816200112440748e-01, -6.431464648914814e-02
1873, 7.402954244031732e-03, -1.418215072741630e+01, 6.286012951082003e-01, -3.453794841150844e-01, -5.985158890399330e-05, 7.947643367020157e-01, -6.161735120116474e-02
1872, 5.946757106034382e-03, -1.407046801845838e+01, 6.151338309071379e-01, -3.522953510980123e-01, -5.816167470772346e-05, 8.075827638164247e-01, -5.882249301878665e-02
1871, 8.868540460348623e-03, -1.395370472182910e+01, 6.023465628719542e-01, -3.594076233313423e-01, -5.633235821517965e-05, 8.200664379766400e-01, -5.594711506324051e-02
